source_id,url,title,source_type,publisher,research_block,language,status,notes
seed_001,https://www.teradata.com/insights/brochures/customer-lifetime-value-in-banking,Customer Lifetime Value in Banking,vendor,Teradata,definition_and_business_value,en,ready,"Bank-specific overview of CLV business value, product usage, channel engagement, attrition, segmentation, retention and campaign impact."
seed_002,https://www.teradata.com/insights/ai-and-machine-learning/application-of-customer-lifetime-value-models,Application of Customer Lifetime Value Models in Banking,vendor,Teradata,calculation_methods,en,ready,"Bank-specific explanation of CLV model components: retention, product holdings, profitability, direct cost and discounted cashflow."
seed_003,https://www.bcg.com/publications/2019/what-does-personalization-banking-really-mean,What Does Personalization in Banking Really Mean?,consulting,BCG,banking_use_cases,en,ready,"Useful for linking CLV to personalization, next-best action, retention, customer data and customer-level engagement."
seed_004,https://www.mckinsey.com/industries/financial-services/our-insights/reimagining-customer-engagement-for-the-ai-bank-of-the-future,Reimagining customer engagement for the AI bank of the future,consulting,McKinsey,banking_use_cases,en,ready,"Useful for AI-bank engagement layer, personalization and customer lifetime value as a business outcome."
seed_005,https://www.mckinsey.com/capabilities/tech-and-ai/our-insights/customer-lifetime-value-the-customer-compass,Customer lifetime value: The customer compass,consulting,McKinsey,definition_and_business_value,en,ready,"General CLV management reference: data collection, determining true customer value and targeting investments."
seed_006,https://www.deloitte.com/us/en/insights/industry/financial-services/explainable-ai-in-banking.html,Explainable artificial intelligence in banking,consulting,Deloitte,risks_and_limitations,en,ready,"Banking AI governance source for explainability, model risk, compliance, fairness and responsible AI constraints."
seed_007,https://www.bain.com/publications/articles/customer-loyalty-in-retail-banking-2012.aspx,Customer Loyalty in Retail Banking: Global Edition,consulting,Bain & Company,definition_and_business_value,en,ready,"Retail banking loyalty source that connects lifetime customer value, retention, advocacy and channel priorities."
seed_008,https://arxiv.org/abs/2506.22711,Potential Customer Lifetime Value in Financial Institutions: The Usage Of Open Banking Data to Improve CLV Estimation,academic,arXiv,calculation_methods,en,ready,"Academic source on using open banking data, retention probability and potential contribution margins for CLV estimation."
seed_009,https://arxiv.org/abs/2304.03038,Modelling customer lifetime-value in the retail banking industry,academic,arXiv,calculation_methods,en,ready,"Academic source with a retail banking CLV framework, arbitrary time horizons and product-based propensity models."
seed_010,https://www.experian.com/content/dam/marketing/na/thought-leadership/business/documents/elevating-customer-lifetime-value-white-paper.pdf,Elevating customer lifetime value,vendor,Experian,required_data,en,ready,"PDF source for customer motivation, personalization, retention and data-driven CLV opportunities in financial institutions."
seed_011,https://www.businesswire.com/news/home/20210526005143/en/Capco-Study-72-of-Customers-Rate-Personalization-as-Highly-Important-in-Todays-Financial-Services-Landscape,Capco Study: 72% of Customers Rate Personalization as Highly Important in Today's Financial Services Landscape,consulting,Capco,banking_use_cases,en,ready,"Survey-based source for financial services personalization demand, digital banking engagement and retention signals."
seed_012,https://www.bcg.com/publications/2022/customer-value-and-banking-in-the-digital-age,Customer Value and Banking in the Digital Age,consulting,BCG,required_data,en,ready,"Banking digital transformation source for customer journeys, data-driven engagement, value streams, governance and policy guardrails."
